t,x,y,z
8.800000000000000530e-03,2.824679772768348585e+00,5.411521636333720409e-01,8.799999999999990052e+00
8.850000000000000228e-03,2.851939493908344225e+00,4.992366819664547650e-01,8.849999999999990763e+00
8.899999999999999925e-03,2.877070696637575864e+00,4.560114272028067961e-01,8.899999999999991473e+00
8.949999999999999623e-03,2.900010592192197478e+00,4.115843949820625070e-01,8.949999999999992184e+00
9.000000000000001055e-03,2.920701866654521250e+00,3.660665835108945498e-01,8.999999999999992895e+00
9.050000000000000752e-03,2.939092824148314076e+00,3.195717162408237000e-01,9.049999999999993605e+00
9.100000000000000450e-03,2.955137515997763753e+00,2.722159577371717765e-01,9.099999999999994316e+00
9.150000000000000147e-03,2.968795855527419203e+00,2.241176234490422081e-01,9.149999999999995026e+00
9.199999999999999845e-03,2.980033718216281269e+00,1.753968841054497074e-01,9.199999999999995737e+00
9.250000000000001277e-03,2.988823026955821138e+00,1.261754654761471639e-01,9.249999999999996447e+00
9.300000000000000974e-03,2.995141822198906567e+00,7.657634424727896572e-02,9.299999999999997158e+00
9.350000000000000672e-03,2.998974316824380981e+00,2.672344077169677007e-02,9.349999999999997868e+00
9.400000000000000369e-03,3.000310935580213112e+00,-2.325869053841808642e-02,9.399999999999998579e+00
9.450000000000000067e-03,2.999148339006675545e+00,-7.324517240309029453e-02,9.449999999999999289e+00
9.499999999999999764e-03,2.995489431779779554e+00,-1.231111166727516526e-01,9.500000000000000000e+00
9.550000000000001196e-03,2.989343355454120665e+00,-1.727319363535991525e-01,9.550000000000000711e+00
9.600000000000000894e-03,2.980725465623267123e+00,-2.219836568805338417e-01,9.600000000000001421e+00
9.650000000000000591e-03,2.969657293554754052e+00,-2.707432258599843933e-01,9.650000000000002132e+00
9.700000000000000289e-03,2.956166492395535972e+00,-3.188888205087416772e-01,9.700000000000002842e+00
9.749999999999999986e-03,2.940286768082300384e+00,-3.663001520206876083e-01,9.750000000000003553e+00
9.799999999999999684e-03,2.922057795129258562e+00,-4.128587661009766041e-01,9.800000000000004263e+00
9.850000000000001116e-03,2.901525117503814144e+00,-4.584483389168034217e-01,9.850000000000004974e+00
9.900000000000000813e-03,2.878740034837760309e+00,-5.029549677253427609e-01,9.900000000000005684e+00
9.950000000000000511e-03,2.853759474258308337e+00,-5.462674554527444659e-01,9.950000000000006395e+00
1.000000000000000021e-02,2.826645848159160312e+00,-5.882775885131811267e-01,1.000000000000000711e+01
1.004999999999999991e-02,2.797466898266984803e+00,-6.288804071738347545e-01,1.005000000000000782e+01
1.010000000000000134e-02,2.766295526392880788e+00,-6.679744677903314276e-01,1.010000000000000853e+01
1.015000000000000104e-02,2.733209612291686241e+00,-7.054620962574456033e-01,1.015000000000000924e+01
1.020000000000000073e-02,2.698291819084204235e+00,-7.412496320418429097e-01,1.020000000000000995e+01
1.025000000000000043e-02,2.661629386728479041e+00,-7.752476621871600138e-01,1.025000000000001066e+01
1.030000000000000013e-02,2.623313914056130791e+00,-8.073712447067752374e-01,1.030000000000001137e+01
1.034999999999999983e-02,2.583441129918308210e+00,-8.375401208061361569e-01,1.035000000000001208e+01
1.040000000000000126e-02,2.542110654013044257e+00,-8.656789154044199908e-01,1.040000000000001279e+01
1.045000000000000095e-02,2.499425747991570468e+00,-8.917173254545353034e-01,1.045000000000001350e+01
1.050000000000000065e-02,2.455493057465433004e+00,-9.155902955909603902e-01,1.050000000000001421e+01
1.055000000000000035e-02,2.410422345558994817e+00,-9.372381806665710524e-01,1.055000000000001492e+01
1.060000000000000005e-02,2.364326218673021174e+00,-9.566068947723714855e-01,1.060000000000001563e+01
1.064999999999999974e-02,2.317319845144516499e+00,-9.736480463678098829e-01,1.065000000000001634e+01
1.070000000000000118e-02,2.269520667505719569e+00,-9.883190591840658179e-01,1.070000000000001705e+01
1.075000000000000087e-02,2.221048109061162013e+00,-1.000583278598237813e+00,1.075000000000001776e+01
1.080000000000000057e-02,2.172023275515889473e+00,-1.010410063212664022e+00,1.080000000000001847e+01
1.085000000000000027e-02,2.122568652400308675e+00,-1.017774861410569054e+00,1.085000000000001918e+01
1.089999999999999997e-02,2.072807799047625466e+00,-1.022659272696767374e+00,1.090000000000001990e+01
1.094999999999999966e-02,2.022865039888452010e+00,-1.025051093670169333e+00,1.095000000000002061e+01
1.100000000000000110e-02,1.972865153833867069e+00,-1.024944348513227244e+00,1.100000000000002132e+01
1.105000000000000079e-02,1.922933062522982794e+00,-1.022339303922148446e+00,1.105000000000002203e+01
1.110000000000000049e-02,1.873193518213914777e+00,-1.017242468440570979e+00,1.110000000000002274e+01
1.115000000000000019e-02,1.823770792097941351e+00,-1.009666576198367416e+00,1.115000000000002345e+01
1.119999999999999989e-02,1.774788363815577030e+00,-9.996305550962053532e-01,1.120000000000002416e+01
1.125000000000000132e-02,1.726368612950288206e+00,-9.871594795153519897e-01,1.125000000000002487e+01
1.130000000000000102e-02,1.678632513270632565e+00,-9.722845076708750423e-01,1.130000000000002558e+01
1.135000000000000071e-02,1.631699330484741806e+00,-9.550428037647593627e-01,1.135000000000002629e+01
1.140000000000000041e-02,1.585686324262286950e+00,-9.354774451334351149e-01,1.140000000000002700e+01
1.145000000000000011e-02,1.540708455268408494e+00,-9.136373146217025010e-01,1.145000000000002771e+01
1.149999999999999981e-02,1.496878097941567232e+00,-8.895769784519518275e-01,1.150000000000002842e+01
1.155000000000000124e-02,1.454304759732923058e+00,-8.633565498938140514e-01,1.155000000000002913e+01
1.160000000000000094e-02,1.413094807508706419e+00,-8.350415390748547884e-01,1.160000000000002984e+01
1.165000000000000063e-02,1.373351201799146271e+00,-8.047026893075510667e-01,1.165000000000003055e+01
1.170000000000000033e-02,1.335173239557920555e+00,-7.724158003414777207e-01,1.170000000000003126e+01
1.175000000000000003e-02,1.298656306074826183e+00,-7.382615389822964058e-01,1.175000000000003197e+01
1.179999999999999973e-02,1.263891636661501172e+00,-7.023252375507045286e-01,1.180000000000003268e+01
1.185000000000000116e-02,1.230966088705611527e+00,-6.646966806848823017e-01,1.185000000000003340e+01
1.190000000000000085e-02,1.199961924663011992e+00,-6.254698810190978397e-01,1.190000000000003411e+01
1.195000000000000055e-02,1.170956606530061395e+00,-5.847428442989246467e-01,1.195000000000003482e+01
1.200000000000000025e-02,1.144022602309590297e+00,-5.426173245199159556e-01,1.200000000000003553e+01
1.204999999999999995e-02,1.119227204954054811e+00,-4.991985697015070556e-01,1.205000000000003624e+01
1.210000000000000138e-02,1.096632364238234292e+00,-4.545950589313142443e-01,1.210000000000003695e+01
1.215000000000000108e-02,1.076294531981531133e+00,-4.089182313368083799e-01,1.215000000000003766e+01
1.220000000000000077e-02,1.058264521006573089e+00,-3.622822076615109799e-01,1.220000000000003837e+01
1.225000000000000047e-02,1.042587378186501823e+00,-3.148035051413378138e-01,1.225000000000003908e+01
1.230000000000000017e-02,1.029302271898131949e+00,-2.666007463934536581e-01,1.230000000000003979e+01
1.234999999999999987e-02,1.018442394162171638e+00,-2.177943630449612478e-01,1.235000000000004050e+01
1.240000000000000130e-02,1.010034877715000334e+00,-1.685062948418905304e-01,1.240000000000004121e+01
1.245000000000000100e-02,1.004100728219196936e+00,-1.188596849902454622e-01,1.245000000000004192e+01
1.250000000000000069e-02,1.000654771782183872e+00,-6.897857249027997129e-02,1.250000000000004263e+01
1.255000000000000039e-02,9.997056179141097232e-01,-1.898758223268729589e-02,1.255000000000004334e+01
1.260000000000000009e-02,1.001255638017518157e+00,3.098838636902202098e-02,1.260000000000004405e+01
1.264999999999999979e-02,1.005300959462544164e+00,8.082447143202048379e-02,1.265000000000004476e+01
1.270000000000000122e-02,1.011831475262441993e+00,1.303961605638958299e-01,1.270000000000004547e+01
1.275000000000000092e-02,1.020830869325269452e+00,1.795796019492030549e-01,1.275000000000004619e+01
